age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,year
30,61,326,72,171,31,159,43,21,113,58,56,1111,Kent Bazemore,13,121,340,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bazemke01,45,PORTLAND_TRAIL_BLAZERS,60,7.2,2.4,-3.2,0.4,14.6,0.9,0.221,-3.6,1.2,-1.0,7.6,1.9,0.525,8.0,0.475,14.4,16.0,-0.3,-0.1,-0.005,2020
30,24,169,70,57,8,94,21,0,72,51,22,493,Kent Bazemore,11,61,217,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bazemke01,25,SACRAMENTO_KINGS,25,7.1,1.6,-2.6,0.4,22.1,0.6,0.414,-3.0,2.5,0.2,13.0,2.5,0.337,12.0,0.543,11.1,19.9,-0.1,0.8,0.077,2020
19,29,230,47,100,35,175,53,8,88,32,30,909,Darius Bazley,21,45,238,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bazleda01,20,OKLAHOMA_CITY_THUNDER,40,4.3,3.3,-2.5,0.6,20.7,1.2,0.204,-3.1,2.7,-0.8,8.1,1.1,0.435,12.0,0.475,13.8,14.1,-0.1,0.4,0.019,2020
26,347,1303,457,481,23,190,57,57,593,385,170,2053,Bradley Beal,52,126,1741,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bealbr01,71,WASHINGTON_WIZARDS,194,29.1,1.0,2.9,-2.4,10.6,0.5,0.351,5.3,2.7,4.6,23.1,1.6,0.369,6.5,0.579,11.4,34.4,2.5,5.1,0.119,2020
23,48,301,38,161,6,68,41,0,117,33,58,746,Malik Beasley,9,50,325,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],beaslma01,31,DENVER_NUGGETS,36,9.1,0.7,-2.8,-0.6,10.1,0.7,0.126,-2.2,1.3,-0.2,10.5,2.1,0.535,5.7,0.511,10.2,20.6,-0.2,0.6,0.037,2020
23,27,233,28,115,2,62,14,14,110,21,49,463,Malik Beasley,9,27,290,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],beaslma01,9,MINNESOTA_TIMBERWOLVES,21,9.8,0.4,-0.6,-2.4,14.7,0.2,0.12,1.8,2.0,0.6,16.2,0.9,0.494,8.1,0.591,7.9,23.7,0.2,0.8,0.079,2020
33,64,271,41,155,1,86,52,0,106,32,57,779,Marco Belinelli,4,41,301,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],belinma01,10,SAN_ANTONIO_SPURS,16,11.3,0.1,-2.9,-1.9,11.9,0.1,0.151,-1.0,0.6,0.4,10.2,0.6,0.572,6.2,0.521,5.2,17.0,-0.2,0.6,0.035,2020
25,14,60,29,9,10,50,27,0,32,17,2,235,Jordan Bell,28,17,83,[<Position.CENTER: 'CENTER'>],belljo01,2,MINNESOTA_TIMBERWOLVES,18,8.6,3.5,-2.5,-1.1,23.3,0.2,0.483,-1.5,12.1,0.2,14.1,0.4,0.15,17.5,0.57,19.8,15.9,0.0,0.4,0.072,2020
25,2,7,2,3,0,1,2,0,3,2,2,21,Jordan Bell,2,2,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],belljo01,1,MEMPHIS_GRIZZLIES,3,12.8,0.0,-1.5,-1.1,4.9,0.0,0.286,-0.4,10.2,0.0,12.6,2.2,0.429,7.5,0.635,27.6,21.5,0.0,0.0,0.046,2020
25,81,228,48,65,19,118,43,4,104,26,15,915,DeAndre' Bembry,34,84,249,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bembrde01,55,ATLANTA_HAWKS,60,12.3,1.7,-2.4,1.0,14.1,0.7,0.211,-3.5,4.0,-0.5,9.6,2.8,0.285,8.9,0.5,19.4,14.0,-0.1,0.2,0.011,2020
22,9,21,3,9,5,20,7,0,10,2,4,91,Dragan Bender,0,16,26,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bendedr01,0,MILWAUKEE_BUCKS,5,12.5,4.8,-1.3,3.0,20.5,0.2,0.143,-4.3,0.0,0.0,8.5,0.0,0.429,10.9,0.582,18.3,12.4,0.0,0.2,0.11,2020
22,19,71,11,34,4,37,9,3,31,8,11,195,Dragan Bender,16,26,81,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bendedr01,4,GOLDEN_STATE_WARRIORS,16,15.2,1.8,-3.6,-1.3,21.3,0.1,0.155,-2.4,8.6,0.0,12.1,1.0,0.479,14.7,0.534,17.4,20.1,-0.1,0.1,0.027,2020
27,92,610,122,472,33,210,54,4,265,104,200,1583,Dāvis Bertāns,35,139,834,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bertada01,37,WASHINGTON_WIZARDS,59,8.3,1.8,0.9,-1.8,15.1,0.5,0.2,2.7,2.3,3.0,15.5,1.1,0.774,8.5,0.628,8.2,19.0,1.1,3.5,0.106,2020
31,179,325,41,198,25,203,48,48,139,27,75,1299,Patrick Beverley,56,150,380,[<Position.POINT_GUARD: 'POINT GUARD'>],beverpa01,53,LOS_ANGELES_CLIPPERS,64,18.2,1.7,2.1,2.6,15.7,2.0,0.126,-0.5,4.6,1.4,12.3,1.9,0.609,10.3,0.554,15.7,13.0,1.3,3.4,0.126,2020
27,35,115,67,1,21,110,40,24,56,41,0,777,Khem Birch,70,73,153,[<Position.CENTER: 'CENTER'>],birchkh01,16,ORLANDO_MAGIC,23,6.1,2.4,-3.0,0.3,15.7,0.8,0.583,-3.3,9.3,0.7,10.1,1.0,0.009,12.4,0.529,13.7,9.3,-0.2,1.5,0.092,2020
20,21,129,33,36,32,74,49,2,61,24,6,410,Goga Bitadze,22,57,152,[<Position.CENTER: 'CENTER'>],bitadgo01,6,INDIANA_PACERS,25,7.1,6.9,-2.5,1.5,19.8,0.7,0.256,-4.0,6.0,-0.1,12.2,0.7,0.279,12.9,0.53,14.8,18.1,0.0,0.6,0.069,2020
27,50,278,151,0,49,188,53,29,151,91,0,1029,Bismack Biyombo,120,116,393,[<Position.CENTER: 'CENTER'>],biyombi01,10,CHARLOTTE_HORNETS,48,7.8,4.4,-2.5,-0.7,20.7,0.9,0.543,-1.8,12.3,1.5,16.1,0.5,0.0,16.3,0.57,12.2,16.8,-0.1,2.4,0.113,2020
