Player,Team,Position,Salary,FantasyScore,C,PF,PG,SF,SG
Troy Daniels,LAL,"PG,SG",2028594 ,-7.15,0,0,1,0,1
Admiral Schofield,WAS,SF,898310 ,-7.17,0,0,0,1,0
Carsen Edwards,BOS,PG,1228026 ,-7.23,0,0,1,0,0
Tyson Chandler,HOU,C,2564753 ,-7.28,1,0,0,0,0
Adam Mokoka,CHI,SG,79568 ,-7.28,0,0,0,0,1
Terance Mann,LAC,SF,1000000 ,-7.29,0,0,0,1,0
Jaylen Hoard,POR,SF,450000 ,-7.34,0,0,0,1,0
Dzanan Musa,BKN,SF,1634400 ,-7.36,0,0,0,1,0
Zach Norvell Jr.,LAL,SG,50752 ,-7.47,0,0,0,0,1
DeMarre Carroll,SAS,"SF,PF",811447 ,-7.51,0,1,0,1,0
Michael Kidd-Gilchrist?,CHA,SF,810763 ,-7.57,0,0,0,1,0
Tyrone Wallace,MIN,"PG,SG",1349383 ,-7.61,0,0,1,0,1
Oshae Brissett,TOR,PF,129568 ,-7.68,0,1,0,0,0
Zylan Cheatham,NOP,SF,79568 ,-7.71,0,0,0,1,0
Romeo Langford,BOS,SG,3458400 ,-7.72,0,0,0,0,1
Joe Chealey,CHA,PG,163356 ,-7.82,0,0,1,0,0
Deonte Burton,OKC,SF,1416852 ,-8.04,0,0,0,1,0
Amir Coffey,LAC,SF,79568 ,-8.13,0,0,0,1,0
Khyri Thomas,DET,SG,838464 ,-8.19,0,0,0,0,1
Michael Frazier,HOU,SG,79568 ,-8.55,0,0,0,0,1
Frank Mason,MIL,PG,79568 ,-8.86,0,0,1,0,0
Josh Gray,NOP,PG,92159 ,-8.93,0,0,1,0,0
Luka Samanic,SAS,PF,2689920 ,-10.38,0,1,0,0,0
