Player,Team,Position,Salary,FantasyScore,C,PF,PG,SF,SG
Rajon Rondo,LAL,PG,2564753 ,-2.52,0,0,1,0,0
Bryn Forbes,SAS,"PG,SG",2875000 ,-2.53,0,0,1,0,1
Cory Joseph,SAC,PG,12000000 ,-2.55,0,0,1,0,0
Svi Mykhailiuk,DET,SG,1416852 ,-2.59,0,0,0,0,1
Eric Mika,SAC,C,50752 ,-2.6,1,0,0,0,0
Nicolas Batum,CHA,"SG,SF",25565217 ,-2.62,0,0,0,1,1
Kyle Kuzma,LAL,"SF,PF",1974600 ,-2.64,0,1,0,1,0
Eric Gordon,HOU,"SG,SF",14057730 ,-2.64,0,0,0,1,1
Damian Jones,ATL,C,2305057 ,-2.69,1,0,0,0,0
Avery Bradley,LAL,"PG,SG",2000000 ,-2.71,0,0,1,0,1
Kyle Anderson,MEM,"SG,SF,PF",9073050 ,-2.71,0,1,0,1,1
Justise Winslow?,MEM,"PG,SF,PF",13000000 ,-2.72,0,1,1,1,0
Andre Iguodala,MIA,"SG,SF",17185185 ,-2.73,0,0,0,1,1
Furkan Korkmaz,PHI,SG,1620564 ,-2.74,0,0,0,0,1
Doug McDermott?,IND,"SF,PF",7333334 ,-2.77,0,1,0,1,0
DeAndre' Bembry?,ATL,SF,2603982 ,-2.78,0,0,0,1,0
Trey Lyles,SAS,"PF,C",5500000 ,-2.8,1,1,0,0,0
Blake Griffin?,DET,"PF,C",34234964 ,-2.82,1,1,0,0,0
Rondae Hollis-Jefferson,TOR,"SF,PF",2500000 ,-2.89,0,1,0,1,0
Naz Reid,MIN,C,898310 ,-2.9,1,0,0,0,0
Jalen Brunson?,DAL,"PG,SG",1416582 ,-2.92,0,0,1,0,1
Michael Porter Jr.,DEN,SF,3389400 ,-2.95,0,0,0,1,0
Taj Gibson,NYK,"PF,C",9800000 ,-2.96,1,1,0,0,0
Frank Kaminsky?,PHO,"PF,C",4767000 ,-2.98,1,1,0,0,0
Ersan Ilyasova,MIL,"SF,PF",7000000 ,-2.98,0,1,0,1,0
Moe Harkless,NYK,"SF,PF",11511234 ,-3.06,0,1,0,1,0
Dragan Bender,MIL,"PF,C",1678854 ,-3.11,1,1,0,0,0
Jaxson Hayes,NOP,C,4862040 ,-3.13,1,0,0,0,0
Meyers Leonard?,MIA,"PF,C",11286515 ,-3.13,1,1,0,0,0
Reggie Bullock,NYK,"SG,SF",4000000 ,-3.14,0,0,0,1,1
Nicolo Melli,NOP,PF,3902439 ,-3.16,0,1,0,0,0
Alex Caruso?,LAL,SG,2750000 ,-3.22,0,0,0,0,1
Jeff Green,HOU,"SF,PF",2564753 ,-3.24,0,1,0,1,0
Caleb Martin,CHA,SG,898310 ,-3.26,0,0,0,0,1
Gary Trent Jr.,POR,SG,1416852 ,-3.29,0,0,0,0,1
Isaac Bonga?,WAS,"SF,PF",1416852 ,-3.35,0,1,0,1,0
Mason Plumlee,DEN,"PF,C",14041096 ,-3.36,1,1,0,0,0
Patrick McCaw,TOR,"SG,SF",4000000 ,-3.38,0,0,0,1,1
Jake Layman,MIN,"SF,PF",3581986 ,-3.4,0,1,0,1,0
Jahlil Okafor,NOP,C,1702486 ,-3.47,1,0,0,0,0
Wilson Chandler,BKN,"SF,PF",2564753 ,-3.48,0,1,0,1,0
Wesley Matthews,MIL,"SG,SF",2564753 ,-3.5,0,0,0,1,1
Solomon Hill,MIA,"SG,SF",13258781 ,-3.54,0,0,0,1,1
Mychal Mulder,GSW,SG,187782 ,-3.63,0,0,0,0,1
Dion Waiters?,MEM,"SG,SF",503656 ,-3.63,0,0,0,1,1
Pat Connaughton,MIL,"SG,SF",1723050 ,-3.65,0,0,0,1,1
Daniel Gafford,CHI,C,898310 ,-3.66,1,0,0,0,0
Austin Rivers,HOU,"PG,SG",2174318 ,-3.66,0,0,1,0,1
Courtney Lee,DAL,"SG,SF",12759670 ,-3.67,0,0,0,1,1
Denzel Valentine,CHI,"SG,SF",3377569 ,-3.67,0,0,0,1,1
Kyle Korver,MIL,"SG,SF",2564753 ,-3.74,0,0,0,1,1
J.J. Barea,DAL,"PG,SG",2564753 ,-3.81,0,0,1,0,1
Jalen McDaniels,CHA,PF,898310 ,-3.81,0,1,0,0,0
Shaquille Harrison,CHI,"PG,SG",898310 ,-3.82,0,0,1,0,1
