age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
25,5.1,1.9,-7.9,0.0,9.8,0.0,0.0,4,45,Ron Baker,-7.9,0.0,-0.1,-2.0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bakerro01,1.1,Team.WASHINGTON_WIZARDS,1.0,4.8,0.0,33.3,5.7,-0.1,-0.1,-0.12
22,16.6,1.7,-10.3,-1.9,14.4,0.1,0.333,16,94,Wade Baldwin,-8.4,2.3,-0.4,1.3,[<Position.POINT_GUARD: 'POINT GUARD'>],baldwwa01,0.5,Team.PORTLAND_TRAIL_BLAZERS,0.273,8.5,0.396,27.0,23.3,-0.2,-0.3,-0.153
21,23.8,1.1,-0.3,1.3,14.0,1.7,0.105,47,1423,Lonzo Ball,-1.6,4.0,-0.2,11.7,[<Position.POINT_GUARD: 'POINT GUARD'>],balllo01,2.3,Team.LOS_ANGELES_LAKERS,0.5,9.1,0.487,17.8,16.9,0.6,1.6,0.052
20,7.4,7.0,-1.4,1.4,24.0,1.4,0.259,47,766,Mo Bamba,-2.8,8.8,0.3,14.9,[<Position.CENTER: 'CENTER'>],bambamo01,0.8,Team.ORLANDO_MAGIC,0.288,16.3,0.539,13.7,17.8,0.1,1.7,0.106
34,47.5,0.1,-0.6,-1.8,11.6,0.6,0.203,38,752,J.J. Barea,1.2,1.9,0.4,16.3,[<Position.POINT_GUARD: 'POINT GUARD'>],bareajo01,1.4,Team.DALLAS_MAVERICKS,0.332,6.8,0.495,14.7,28.1,0.3,1.0,0.064
26,6.3,0.6,-1.2,-1.2,11.5,1.1,0.276,49,1584,Harrison Barnes,0.0,2.4,0.8,13.1,[<Position.POWER_FORWARD: 'POWER FORWARD'>],barneha02,1.0,Team.DALLAS_MAVERICKS,0.434,7.0,0.538,7.8,23.7,0.3,1.9,0.059
26,7.5,0.2,-1.7,-1.2,14.8,0.5,0.258,28,949,Harrison Barnes,-0.5,2.2,1.1,12.3,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],barneha02,0.8,Team.SACRAMENTO_KINGS,0.419,8.4,0.578,8.0,16.3,0.1,1.7,0.084
28,14.6,1.6,-1.8,-0.8,15.3,1.1,0.161,43,1189,Will Barton,-1.1,2.9,0.1,11.0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bartowi01,0.7,Team.DENVER_NUGGETS,0.426,9.1,0.501,11.7,20.0,0.0,1.2,0.049
23,4.6,2.4,-3.4,-0.6,14.4,0.4,0.197,30,503,Keita Bates-Diop,-2.8,3.4,0.0,9.6,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bateske01,1.7,Team.MINNESOTA_TIMBERWOLVES,0.366,8.8,0.489,8.3,14.1,-0.2,0.3,0.032
30,14.5,1.6,-0.3,0.4,14.9,1.7,0.158,75,2354,Nicolas Batum,-0.7,3.2,2.0,11.9,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],batumni01,1.5,Team.CHARLOTTE_HORNETS,0.53,8.9,0.581,16.3,13.2,1.0,3.7,0.076
