age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers
37,115,120,11,57,3,49,49,0,45,9,14,632,José Calderón,11,64,113,[<Position.POINT_GUARD: 'POINT GUARD'>],caldejo01,16,Team.DETROIT_PISTONS,35
25,110,756,158,435,13,190,82,23,325,137,151,2035,Kentavious Caldwell-Pope,48,137,938,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],caldwke01,73,Team.LOS_ANGELES_LAKERS,65
27,62,129,20,72,0,44,19,15,51,15,25,503,Isaiah Canaan,5,46,142,[<Position.POINT_GUARD: 'POINT GUARD'>],canaais01,12,Team.PHOENIX_SUNS,29
27,19,29,4,19,1,5,7,1,11,4,7,95,Isaiah Canaan,0,4,33,[<Position.POINT_GUARD: 'POINT GUARD'>],canaais01,2,Team.MINNESOTA_TIMBERWOLVES,4
27,3,6,0,5,1,3,4,0,2,0,2,31,Isaiah Canaan,1,2,6,[<Position.POINT_GUARD: 'POINT GUARD'>],canaais01,0,Team.MILWAUKEE_BUCKS,2
24,96,732,261,0,102,550,67,67,474,166,0,2249,Clint Capela,298,168,1114,[<Position.CENTER: 'CENTER'>],capelca01,44,Team.HOUSTON_ROCKETS,94
32,85,575,242,310,10,281,67,8,227,184,106,1703,DeMarre Carroll,68,114,744,[<Position.POWER_FORWARD: 'POWER FORWARD'>],carrode01,31,Team.BROOKLYN_NETS,73
23,69,185,32,102,11,52,39,3,56,26,34,577,Jevon Carter,14,55,172,[<Position.POINT_GUARD: 'POINT GUARD'>],carteje01,26,Team.MEMPHIS_GRIZZLIES,33
42,87,468,66,316,27,163,76,9,196,47,123,1330,Vince Carter,31,141,562,[<Position.POWER_FORWARD: 'POWER FORWARD'>],cartevi01,44,Team.ATLANTA_HAWKS,48
19,78,371,112,32,58,220,44,44,180,89,6,1110,Wendell Carter Jr.,87,152,455,[<Position.CENTER: 'CENTER'>],cartewe01,26,Team.CHICAGO_BULLS,65
27,21,61,26,19,6,10,16,1,25,12,7,145,Michael Carter-Williams,3,27,69,[<Position.POINT_GUARD: 'POINT GUARD'>],cartemi01,9,Team.HOUSTON_ROCKETS,10
27,49,62,27,19,9,41,12,0,21,20,3,227,Michael Carter-Williams,16,21,65,[<Position.POINT_GUARD: 'POINT GUARD'>],cartemi01,11,Team.ORLANDO_MAGIC,10
24,77,173,64,50,9,47,25,4,77,51,24,531,Alex Caruso,20,54,229,[<Position.POINT_GUARD: 'POINT GUARD'>],carusal01,24,Team.LOS_ANGELES_LAKERS,42
30,26,161,58,43,9,98,36,0,86,39,15,520,Omri Casspi,17,35,226,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],casspom01,20,Team.MEMPHIS_GRIZZLIES,23
25,194,741,254,2,51,497,81,81,412,140,1,2213,Willie Cauley-Stein,181,227,965,[<Position.CENTER: 'CENTER'>],caulewi01,96,Team.SACRAMENTO_KINGS,84
23,4,8,0,3,0,2,4,0,4,0,2,16,Troy Caupain,1,0,10,[<Position.POINT_GUARD: 'POINT GUARD'>],caupatr01,1,Team.ORLANDO_MAGIC,0
24,1,10,2,5,0,5,11,0,3,2,1,39,Tyler Cavanaugh,3,3,9,[<Position.POWER_FORWARD: 'POWER FORWARD'>],cavanty01,0,Team.UTAH_JAZZ,1
36,6,12,18,0,1,32,7,0,8,10,0,89,Tyson Chandler,7,21,26,[<Position.CENTER: 'CENTER'>],chandty01,2,Team.PHOENIX_SUNS,7
36,31,87,69,1,22,183,48,6,53,41,0,786,Tyson Chandler,85,89,147,[<Position.CENTER: 'CENTER'>],chandty01,19,Team.LOS_ANGELES_LAKERS,35
31,72,207,18,118,18,124,36,32,91,13,46,951,Wilson Chandler,44,94,241,[<Position.POWER_FORWARD: 'POWER FORWARD'>],chandwi01,22,Team.PHILADELPHIA_76ERS,39
31,10,66,7,40,3,43,15,1,23,5,13,226,Wilson Chandler,4,29,64,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],chandwi01,3,Team.LOS_ANGELES_CLIPPERS,7
23,1,3,0,0,0,0,1,0,1,0,0,8,Joe Chealey,0,1,2,[<Position.POINT_GUARD: 'POINT GUARD'>],chealjo01,0,Team.CHARLOTTE_HORNETS,0
23,4,8,0,5,1,3,7,0,2,0,2,33,Chris Chiozza,1,2,6,[<Position.POINT_GUARD: 'POINT GUARD'>],chiozch01,1,Team.HOUSTON_ROCKETS,1
21,6,34,7,15,4,21,16,0,11,6,1,104,Marquese Chriss,7,17,29,[<Position.POWER_FORWARD: 'POWER FORWARD'>],chrisma01,2,Team.HOUSTON_ROCKETS,12
21,16,146,38,57,7,81,27,2,56,26,15,395,Marquese Chriss,33,64,153,[<Position.POWER_FORWARD: 'POWER FORWARD'>],chrisma01,15,Team.CLEVELAND_CAVALIERS,24
24,18,151,7,138,26,92,51,2,50,7,41,641,Gary Clark,24,47,148,[<Position.POWER_FORWARD: 'POWER FORWARD'>],clarkga01,20,Team.HOUSTON_ROCKETS,7
